,# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
34,ORV,F,Marvin Bagley III,19.0,SAC,1.0,500.0,0.002,0.0,0.0,1.0,62.0,25.3,14.9,7.6,1.0,0.5,1.0,0.504,0.313,0.691,3.6,0.11,2019
35,ORV,G,Devin Booker,22.0,PHO,1.0,500.0,0.002,0.0,0.0,1.0,64.0,35.0,26.6,4.1,6.8,0.9,0.2,0.467,0.326,0.866,3.5,0.076,2019
36,ORV,C,Anthony Davis,25.0,NOP,1.0,500.0,0.002,0.0,0.0,1.0,56.0,33.0,25.9,12.0,3.9,1.6,2.4,0.517,0.331,0.794,9.5,0.247,2019
37,ORV,G,Eric Gordon,30.0,HOU,1.0,500.0,0.002,0.0,0.0,1.0,68.0,31.7,16.2,2.2,1.9,0.6,0.4,0.409,0.36,0.783,2.6,0.059,2019
38,ORV,G,Jrue Holiday,28.0,NOP,1.0,500.0,0.002,0.0,0.0,1.0,67.0,35.9,21.2,5.0,7.7,1.6,0.8,0.472,0.325,0.768,5.4,0.108,2019
39,ORV,G,Kyle Lowry,32.0,TOR,1.0,500.0,0.002,0.0,0.0,1.0,65.0,34.0,14.2,4.8,8.7,1.4,0.5,0.411,0.347,0.83,6.6,0.144,2019
40,ORV,F,Domantas Sabonis,22.0,IND,1.0,500.0,0.002,0.0,0.0,1.0,74.0,24.8,14.1,9.3,2.9,0.6,0.4,0.59,0.529,0.715,7.6,0.197,2019
41,ORV,C,Myles Turner,22.0,IND,1.0,500.0,0.002,0.0,0.0,1.0,74.0,28.6,13.3,7.2,1.6,0.8,2.7,0.487,0.388,0.736,6.3,0.144,2019
42,ORV,G,Lou Williams,32.0,LAC,1.0,500.0,0.002,0.0,0.0,1.0,75.0,26.6,20.0,3.0,5.4,0.8,0.1,0.425,0.361,0.876,5.1,0.123,2019
0,1st,F,Giannis Antetokounmpo,25.0,MIL,500.0,500.0,1.0,100.0,0.0,0.0,63.0,30.4,29.5,13.6,5.6,1.0,1.0,0.553,0.304,0.633,11.1,0.279,2020
1,1st,F,LeBron James,35.0,LAL,500.0,500.0,1.0,100.0,0.0,0.0,67.0,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204,2020
2,1st,G,James Harden,30.0,HOU,474.0,500.0,0.948,89.0,9.0,2.0,68.0,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254,2020
3,1st,C,Anthony Davis,26.0,LAL,455.0,500.0,0.91,79.0,20.0,0.0,62.0,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25,2020
4,1st,G,Luka Dončić,20.0,DAL,416.0,500.0,0.832,59.0,40.0,1.0,61.0,33.6,28.8,9.4,8.8,1.0,0.2,0.463,0.316,0.758,8.8,0.207,2020
6,2nd,F,Kawhi Leonard,28.0,LAC,372.0,500.0,0.744,39.0,59.0,0.0,57.0,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226,2020
7,2nd,C,Nikola Jokić,24.0,DEN,311.0,500.0,0.622,21.0,64.0,14.0,73.0,32.0,19.9,9.7,7.0,1.2,0.6,0.528,0.314,0.817,9.8,0.202,2020
8,2nd,G,Damian Lillard,29.0,POR,284.0,500.0,0.568,6.0,82.0,8.0,66.0,37.5,30.0,4.3,8.0,1.1,0.3,0.463,0.401,0.888,11.6,0.225,2020
9,2nd,G,Chris Paul,34.0,OKC,199.0,500.0,0.398,2.0,52.0,33.0,70.0,31.5,17.6,5.0,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193,2020
10,2nd,F,Pascal Siakam,25.0,TOR,168.0,500.0,0.336,1.0,36.0,55.0,60.0,35.2,22.9,7.3,3.5,1.0,0.9,0.453,0.359,0.792,5.4,0.123,2020
12,3rd,F,Jayson Tatum,21.0,BOS,153.0,500.0,0.306,0.0,32.0,57.0,66.0,34.3,23.4,7.0,3.0,1.4,0.9,0.45,0.403,0.812,6.9,0.146,2020
13,3rd,F,Jimmy Butler,30.0,MIA,147.0,500.0,0.294,0.0,32.0,51.0,58.0,33.8,19.9,6.7,6.0,1.8,0.6,0.455,0.244,0.834,9.0,0.221,2020
14,3rd,C,Rudy Gobert,27.0,UTA,110.0,500.0,0.22,1.0,19.0,48.0,68.0,34.3,15.1,13.5,1.5,0.8,2.0,0.693,,0.63,10.7,0.221,2020
15,3rd,G,Ben Simmons,23.0,PHI,61.0,500.0,0.122,0.0,9.0,29.0,57.0,35.4,16.4,7.8,8.0,2.1,0.6,0.58,0.286,0.621,6.9,0.165,2020
16,3rd,G,Russell Westbrook,31.0,HOU,56.0,500.0,0.112,0.0,9.0,29.0,57.0,35.9,27.2,7.9,7.0,1.6,0.4,0.472,0.258,0.763,4.2,0.098,2020
18,ORV,F,Khris Middleton,28.0,MIL,82.0,500.0,0.164,0.0,10.0,52.0,62.0,29.9,20.9,6.2,4.3,0.9,0.1,0.497,0.415,0.916,7.9,0.205,2020
19,ORV,C,Joel Embiid,25.0,PHI,79.0,500.0,0.158,3.0,14.0,22.0,51.0,29.5,23.0,11.6,3.0,0.9,1.3,0.477,0.331,0.807,6.0,0.192,2020
20,ORV,G,Bradley Beal,26.0,WAS,32.0,500.0,0.064,0.0,3.0,23.0,57.0,36.0,30.5,4.2,6.1,1.2,0.4,0.455,0.353,0.842,5.1,0.118,2020
21,ORV,G,Kyle Lowry,33.0,TOR,26.0,500.0,0.052,0.0,3.0,17.0,58.0,36.2,19.4,5.0,7.5,1.4,0.4,0.416,0.352,0.857,7.5,0.171,2020
22,ORV,C,Bam Adebayo,22.0,MIA,26.0,500.0,0.052,0.0,0.0,26.0,72.0,33.6,15.9,10.2,5.1,1.1,1.3,0.557,0.143,0.691,8.5,0.168,2020
23,ORV,G,Trae Young,21.0,ATL,13.0,500.0,0.026,0.0,1.0,10.0,60.0,35.3,29.6,4.3,9.3,1.1,0.1,0.437,0.361,0.86,5.9,0.133,2020
24,ORV,G,Donovan Mitchell,23.0,UTA,10.0,500.0,0.02,0.0,1.0,7.0,69.0,34.3,24.0,4.4,4.3,1.0,0.2,0.449,0.366,0.863,5.4,0.11,2020
25,ORV,F,Paul George,29.0,LAC,7.0,500.0,0.014,0.0,2.0,1.0,48.0,29.6,21.5,5.7,3.9,1.4,0.4,0.439,0.412,0.876,4.8,0.161,2020
26,ORV,F,Brandon Ingram,22.0,NOP,5.0,500.0,0.01,0.0,1.0,2.0,62.0,33.9,23.8,6.1,4.2,1.0,0.6,0.463,0.391,0.851,5.1,0.115,2020
27,ORV,G,Kemba Walker,29.0,BOS,4.0,500.0,0.008,0.0,1.0,1.0,56.0,31.1,20.4,3.9,4.8,0.9,0.5,0.425,0.381,0.864,5.9,0.162,2020
28,ORV,C,Andre Drummond,26.0,TOT,3.0,500.0,0.006,0.0,1.0,0.0,57.0,33.0,17.7,15.2,2.7,1.9,1.6,0.533,0.143,0.575,4.2,0.108,2020
29,ORV,G,Devin Booker,23.0,PHO,3.0,500.0,0.006,0.0,0.0,3.0,70.0,35.9,26.6,4.2,6.5,0.7,0.3,0.489,0.354,0.919,7.5,0.143,2020
30,ORV,C,Karl-Anthony Towns*,24.0,MIN,2.0,500.0,0.004,0.0,0.0,2.0,35.0,33.9,26.5,10.8,4.4,0.9,1.2,0.508,0.412,0.796,5.1,0.204,2020
31,ORV,G,Zach LaVine,24.0,CHI,1.0,500.0,0.002,0.0,0.0,1.0,60.0,34.8,25.5,4.8,4.2,1.5,0.5,0.45,0.38,0.802,4.0,0.091,2020
32,ORV,C,Brook Lopez,31.0,MIL,1.0,500.0,0.002,0.0,0.0,1.0,68.0,26.7,12.0,4.6,1.5,0.7,2.4,0.435,0.314,0.836,5.5,0.145,2020
0,1st,F,Giannis Antetokounmpo,25.0,MIL,500.0,500.0,1.0,100.0,0.0,0.0,63.0,30.4,29.5,13.6,5.6,1.0,1.0,0.553,0.304,0.633,11.1,0.279,2021
1,1st,F,LeBron James,35.0,LAL,500.0,500.0,1.0,100.0,0.0,0.0,67.0,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204,2021
2,1st,G,James Harden,30.0,HOU,474.0,500.0,0.948,89.0,9.0,2.0,68.0,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254,2021
3,1st,C,Anthony Davis,26.0,LAL,455.0,500.0,0.91,79.0,20.0,0.0,62.0,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25,2021
4,1st,G,Luka Dončić,20.0,DAL,416.0,500.0,0.832,59.0,40.0,1.0,61.0,33.6,28.8,9.4,8.8,1.0,0.2,0.463,0.316,0.758,8.8,0.207,2021
6,2nd,F,Kawhi Leonard,28.0,LAC,372.0,500.0,0.744,39.0,59.0,0.0,57.0,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226,2021
7,2nd,C,Nikola Jokić,24.0,DEN,311.0,500.0,0.622,21.0,64.0,14.0,73.0,32.0,19.9,9.7,7.0,1.2,0.6,0.528,0.314,0.817,9.8,0.202,2021
8,2nd,G,Damian Lillard,29.0,POR,284.0,500.0,0.568,6.0,82.0,8.0,66.0,37.5,30.0,4.3,8.0,1.1,0.3,0.463,0.401,0.888,11.6,0.225,2021
9,2nd,G,Chris Paul,34.0,OKC,199.0,500.0,0.398,2.0,52.0,33.0,70.0,31.5,17.6,5.0,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193,2021
10,2nd,F,Pascal Siakam,25.0,TOR,168.0,500.0,0.336,1.0,36.0,55.0,60.0,35.2,22.9,7.3,3.5,1.0,0.9,0.453,0.359,0.792,5.4,0.123,2021
12,3rd,F,Jayson Tatum,21.0,BOS,153.0,500.0,0.306,0.0,32.0,57.0,66.0,34.3,23.4,7.0,3.0,1.4,0.9,0.45,0.403,0.812,6.9,0.146,2021
13,3rd,F,Jimmy Butler,30.0,MIA,147.0,500.0,0.294,0.0,32.0,51.0,58.0,33.8,19.9,6.7,6.0,1.8,0.6,0.455,0.244,0.834,9.0,0.221,2021
14,3rd,C,Rudy Gobert,27.0,UTA,110.0,500.0,0.22,1.0,19.0,48.0,68.0,34.3,15.1,13.5,1.5,0.8,2.0,0.693,,0.63,10.7,0.221,2021
15,3rd,G,Ben Simmons,23.0,PHI,61.0,500.0,0.122,0.0,9.0,29.0,57.0,35.4,16.4,7.8,8.0,2.1,0.6,0.58,0.286,0.621,6.9,0.165,2021
16,3rd,G,Russell Westbrook,31.0,HOU,56.0,500.0,0.112,0.0,9.0,29.0,57.0,35.9,27.2,7.9,7.0,1.6,0.4,0.472,0.258,0.763,4.2,0.098,2021
18,ORV,F,Khris Middleton,28.0,MIL,82.0,500.0,0.164,0.0,10.0,52.0,62.0,29.9,20.9,6.2,4.3,0.9,0.1,0.497,0.415,0.916,7.9,0.205,2021
19,ORV,C,Joel Embiid,25.0,PHI,79.0,500.0,0.158,3.0,14.0,22.0,51.0,29.5,23.0,11.6,3.0,0.9,1.3,0.477,0.331,0.807,6.0,0.192,2021
20,ORV,G,Bradley Beal,26.0,WAS,32.0,500.0,0.064,0.0,3.0,23.0,57.0,36.0,30.5,4.2,6.1,1.2,0.4,0.455,0.353,0.842,5.1,0.118,2021
21,ORV,G,Kyle Lowry,33.0,TOR,26.0,500.0,0.052,0.0,3.0,17.0,58.0,36.2,19.4,5.0,7.5,1.4,0.4,0.416,0.352,0.857,7.5,0.171,2021
22,ORV,C,Bam Adebayo,22.0,MIA,26.0,500.0,0.052,0.0,0.0,26.0,72.0,33.6,15.9,10.2,5.1,1.1,1.3,0.557,0.143,0.691,8.5,0.168,2021
23,ORV,G,Trae Young,21.0,ATL,13.0,500.0,0.026,0.0,1.0,10.0,60.0,35.3,29.6,4.3,9.3,1.1,0.1,0.437,0.361,0.86,5.9,0.133,2021
24,ORV,G,Donovan Mitchell,23.0,UTA,10.0,500.0,0.02,0.0,1.0,7.0,69.0,34.3,24.0,4.4,4.3,1.0,0.2,0.449,0.366,0.863,5.4,0.11,2021
25,ORV,F,Paul George,29.0,LAC,7.0,500.0,0.014,0.0,2.0,1.0,48.0,29.6,21.5,5.7,3.9,1.4,0.4,0.439,0.412,0.876,4.8,0.161,2021
26,ORV,F,Brandon Ingram,22.0,NOP,5.0,500.0,0.01,0.0,1.0,2.0,62.0,33.9,23.8,6.1,4.2,1.0,0.6,0.463,0.391,0.851,5.1,0.115,2021
27,ORV,G,Kemba Walker,29.0,BOS,4.0,500.0,0.008,0.0,1.0,1.0,56.0,31.1,20.4,3.9,4.8,0.9,0.5,0.425,0.381,0.864,5.9,0.162,2021
28,ORV,C,Andre Drummond,26.0,TOT,3.0,500.0,0.006,0.0,1.0,0.0,57.0,33.0,17.7,15.2,2.7,1.9,1.6,0.533,0.143,0.575,4.2,0.108,2021
29,ORV,G,Devin Booker,23.0,PHO,3.0,500.0,0.006,0.0,0.0,3.0,70.0,35.9,26.6,4.2,6.5,0.7,0.3,0.489,0.354,0.919,7.5,0.143,2021
30,ORV,C,Karl-Anthony Towns*,24.0,MIN,2.0,500.0,0.004,0.0,0.0,2.0,35.0,33.9,26.5,10.8,4.4,0.9,1.2,0.508,0.412,0.796,5.1,0.204,2021
31,ORV,G,Zach LaVine,24.0,CHI,1.0,500.0,0.002,0.0,0.0,1.0,60.0,34.8,25.5,4.8,4.2,1.5,0.5,0.45,0.38,0.802,4.0,0.091,2021
32,ORV,C,Brook Lopez,31.0,MIL,1.0,500.0,0.002,0.0,0.0,1.0,68.0,26.7,12.0,4.6,1.5,0.7,2.4,0.435,0.314,0.836,5.5,0.145,2021
1,1T,F,Giannis Antetokounmpo,27.0,MIL,500.0,500.0,1.0,100.0,0.0,0.0,67.0,32.9,29.9,11.6,5.8,1.1,1.4,0.553,0.293,0.722,12.9,0.281,2022
2,1T,G,Luka Dončić,22.0,DAL,476.0,500.0,0.952,88.0,12.0,0.0,65.0,35.4,28.4,9.1,8.7,1.2,0.6,0.457,0.353,0.744,7.6,0.159,2022
3,1T,C,Nikola Jokić,26.0,DEN,476.0,500.0,0.952,88.0,12.0,0.0,74.0,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,15.2,0.296,2022
4,1T,G,Devin Booker,25.0,PHO,460.0,500.0,0.92,82.0,16.0,2.0,68.0,34.5,26.8,5.0,4.8,1.1,0.4,0.466,0.383,0.868,7.6,0.156,2022
5,1T,F,Jayson Tatum,23.0,BOS,390.0,500.0,0.78,49.0,47.0,4.0,76.0,35.9,26.9,8.0,4.4,1.0,0.6,0.453,0.353,0.853,9.6,0.169,2022
7,2T,C,Joel Embiid,27.0,PHI,414.0,500.0,0.828,57.0,43.0,0.0,68.0,33.8,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,12.0,0.252,2022
8,2T,G,Ja Morant,22.0,MEM,301.0,500.0,0.602,13.0,76.0,8.0,57.0,33.1,27.4,5.7,6.7,1.2,0.4,0.493,0.344,0.761,6.7,0.171,2022
9,2T,F,Kevin Durant,33.0,BRK,276.0,500.0,0.552,10.0,68.0,22.0,55.0,37.2,29.9,7.4,6.4,0.9,0.9,0.518,0.383,0.91,8.4,0.198,2022
10,2T,G,Stephen Curry,33.0,GSW,274.0,500.0,0.548,9.0,69.0,22.0,64.0,34.5,25.5,5.2,6.3,1.3,0.4,0.437,0.38,0.923,8.0,0.173,2022
11,2T,F,DeMar DeRozan,32.0,CHI,184.0,500.0,0.368,2.0,39.0,57.0,76.0,36.1,27.9,5.2,4.9,0.9,0.3,0.504,0.352,0.877,8.8,0.154,2022
13,3T,C,Karl-Anthony Towns,26.0,MIN,174.0,500.0,0.348,0.0,38.0,60.0,74.0,33.5,24.6,9.8,3.6,1.0,1.1,0.529,0.41,0.822,10.3,0.199,2022
14,3T,F,LeBron James,37.0,LAL,169.0,500.0,0.338,2.0,35.0,54.0,56.0,37.2,30.3,8.2,6.2,1.3,1.1,0.524,0.359,0.756,7.5,0.172,2022
15,3T,G,Chris Paul,36.0,PHO,114.0,500.0,0.228,0.0,16.0,66.0,65.0,32.9,14.7,4.4,10.8,1.9,0.3,0.493,0.317,0.837,9.4,0.21,2022
16,3T,G,Trae Young,23.0,ATL,110.0,500.0,0.22,0.0,11.0,77.0,76.0,34.9,28.4,3.7,9.7,0.9,0.1,0.46,0.382,0.904,10.0,0.181,2022
17,3T,F,Pascal Siakam,27.0,TOR,63.0,500.0,0.126,0.0,7.0,42.0,68.0,37.9,22.8,8.5,5.3,1.3,0.6,0.494,0.344,0.749,8.1,0.151,2022
19,ORV,C,Rudy Gobert,29.0,UTA,45.0,500.0,0.09,0.0,5.0,30.0,66.0,32.1,15.6,14.7,1.1,0.7,2.1,0.713,0.0,0.69,11.7,0.264,2022
20,ORV,F,Jimmy Butler,32.0,MIA,32.0,500.0,0.064,0.0,2.0,26.0,57.0,33.9,21.4,5.9,5.5,1.6,0.5,0.48,0.233,0.87,9.2,0.228,2022
21,ORV,C,Bam Adebayo,24.0,MIA,28.0,500.0,0.056,0.0,4.0,16.0,56.0,32.6,19.1,10.1,3.4,1.4,0.8,0.557,0.0,0.753,7.2,0.188,2022
22,ORV,G,Donovan Mitchell,25.0,UTA,4.0,500.0,0.008,0.0,0.0,4.0,67.0,33.8,25.9,4.2,5.3,1.5,0.2,0.448,0.355,0.853,7.2,0.152,2022
23,ORV,F,Jaylen Brown,25.0,BOS,3.0,500.0,0.006,0.0,0.0,3.0,66.0,33.6,23.6,6.1,3.5,1.1,0.3,0.473,0.358,0.758,5.8,0.124,2022
24,ORV,F,Desmond Bane,23.0,MEM,1.0,500.0,0.002,0.0,0.0,1.0,76.0,29.8,18.2,4.4,2.7,1.2,0.4,0.461,0.436,0.903,7.2,0.153,2022
25,ORV,G,Mikal Bridges,25.0,PHO,1.0,500.0,0.002,0.0,0.0,1.0,82.0,34.8,14.2,4.2,2.3,1.2,0.4,0.534,0.369,0.834,8.9,0.15,2022
26,ORV,G,Jrue Holiday,31.0,MIL,1.0,500.0,0.002,0.0,0.0,1.0,67.0,33.0,18.3,4.5,6.8,1.6,0.4,0.501,0.411,0.761,6.9,0.15,2022
27,ORV,G,Kyrie Irving,29.0,BRK,1.0,500.0,0.002,0.0,0.0,1.0,29.0,37.6,27.4,4.4,5.8,1.4,0.6,0.469,0.418,0.915,3.3,0.147,2022
28,ORV,F,Khris Middleton,30.0,MIL,1.0,500.0,0.002,0.0,0.0,1.0,66.0,32.4,20.1,5.4,5.4,1.2,0.3,0.443,0.373,0.89,5.3,0.119,2022
29,ORV,G,Dejounte Murray,25.0,SAS,1.0,500.0,0.002,0.0,0.0,1.0,68.0,34.8,21.1,8.3,9.2,2.0,0.3,0.462,0.327,0.794,7.3,0.149,2022
30,ORV,G,Fred VanVleet,27.0,TOR,1.0,500.0,0.002,0.0,0.0,1.0,65.0,37.9,20.3,4.4,6.7,1.7,0.5,0.403,0.377,0.874,6.7,0.131,2022
1,1T,F,Giannis Antetokounmpo,28.0,MIL,500.0,500.0,1.0,100.0,0.0,0.0,63.0,32.1,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.645,8.6,0.204,2023
2,1T,F,Jayson Tatum,24.0,BOS,484.0,500.0,0.968,92.0,8.0,0.0,74.0,36.9,30.1,8.8,4.6,1.1,0.7,0.466,0.35,0.854,10.5,0.185,2023
3,1T,C,Joel Embiid,28.0,PHI,474.0,500.0,0.948,87.0,13.0,0.0,66.0,34.6,33.1,10.2,4.2,1.0,1.7,0.548,0.33,0.857,12.3,0.259,2023
4,1T,G,Shai Gilgeous-Alexander,24.0,OKC,407.0,500.0,0.814,63.0,29.0,5.0,68.0,35.5,31.4,4.8,5.5,1.6,1.0,0.51,0.345,0.905,11.4,0.226,2023
5,1T,G,Luka Dončić,23.0,DAL,403.0,500.0,0.806,60.0,33.0,4.0,66.0,36.2,32.4,8.6,8.0,1.4,0.5,0.496,0.342,0.742,10.2,0.204,2023
7,2T,C,Nikola Jokić,27.0,DEN,364.0,500.0,0.728,32.0,68.0,0.0,69.0,33.7,24.5,11.8,9.8,1.3,0.7,0.632,0.383,0.822,14.9,0.308,2023
8,2T,G,Donovan Mitchell,26.0,CLE,349.0,500.0,0.698,45.0,36.0,16.0,68.0,35.8,28.3,4.3,4.4,1.5,0.4,0.484,0.386,0.867,8.9,0.176,2023
9,2T,G,Stephen Curry,34.0,GSW,188.0,500.0,0.376,17.0,20.0,43.0,56.0,34.7,29.4,6.1,6.3,0.9,0.4,0.493,0.427,0.915,7.8,0.192,2023
10,2T,F,Jimmy Butler,33.0,MIA,182.0,500.0,0.364,1.0,52.0,21.0,64.0,33.4,22.9,5.9,5.3,1.8,0.3,0.539,0.35,0.85,12.3,0.277,2023
11,2T,F,Jaylen Brown,26.0,BOS,169.0,500.0,0.338,1.0,45.0,29.0,67.0,35.9,26.6,6.9,3.5,1.1,0.4,0.491,0.335,0.765,5.0,0.1,2023
13,3T,C,Domantas Sabonis,26.0,SAC,147.0,500.0,0.294,0.0,26.0,69.0,79.0,34.6,19.1,12.3,7.3,0.8,0.5,0.615,0.373,0.742,12.6,0.221,2023
14,3T,G,De'Aaron Fox,25.0,SAC,144.0,500.0,0.288,1.0,33.0,40.0,73.0,33.4,25.0,4.2,6.1,1.1,0.3,0.512,0.324,0.78,7.4,0.146,2023
15,3T,G,Damian Lillard,32.0,POR,137.0,500.0,0.274,0.0,36.0,29.0,58.0,36.3,32.2,4.8,7.3,0.9,0.3,0.463,0.371,0.914,9.0,0.205,2023
16,3T,F,Julius Randle,28.0,NYK,125.0,500.0,0.25,0.0,30.0,35.0,77.0,35.5,25.1,10.0,4.1,0.6,0.3,0.459,0.343,0.757,8.1,0.142,2023
17,3T,F,LeBron James,38.0,LAL,81.0,500.0,0.162,0.0,16.0,33.0,55.0,35.5,28.9,8.3,6.8,0.9,0.6,0.5,0.321,0.768,5.6,0.138,2023
19,ORV,C,Anthony Davis,29.0,LAL,65.0,500.0,0.13,0.0,13.0,26.0,56.0,34.0,25.9,12.5,2.6,1.1,2.0,0.563,0.257,0.784,9.0,0.226,2023
20,ORV,F,Lauri Markkanen,25.0,UTA,49.0,500.0,0.098,0.0,6.0,31.0,66.0,34.4,25.6,8.6,1.9,0.6,0.6,0.499,0.391,0.875,8.2,0.173,2023
21,ORV,G,Ja Morant,23.0,MEM,44.0,500.0,0.088,0.0,10.0,14.0,61.0,31.9,26.2,5.9,8.1,1.1,0.3,0.466,0.307,0.748,6.0,0.148,2023
22,ORV,G,Jrue Holiday,32.0,MIL,39.0,500.0,0.078,1.0,5.0,19.0,67.0,32.6,19.3,5.1,7.4,1.2,0.4,0.479,0.384,0.859,6.7,0.148,2023
23,ORV,F,Kevin Durant,34.0,TOT,35.0,500.0,0.07,0.0,7.0,14.0,47.0,35.6,29.1,6.7,5.0,0.7,1.4,0.56,0.404,0.919,6.8,0.194,2023
24,ORV,G,Jalen Brunson,26.0,NYK,23.0,500.0,0.046,0.0,5.0,8.0,68.0,35.0,24.0,3.5,6.2,0.9,0.2,0.491,0.416,0.829,8.7,0.175,2023
25,ORV,F,Kawhi Leonard,31.0,LAC,15.0,500.0,0.03,0.0,4.0,3.0,52.0,33.6,23.8,6.5,3.9,1.4,0.5,0.512,0.416,0.871,7.1,0.194,2023
26,ORV,F,Pascal Siakam,28.0,TOR,15.0,500.0,0.03,0.0,1.0,12.0,71.0,37.4,24.2,7.8,5.8,0.9,0.5,0.48,0.324,0.774,7.8,0.141,2023
27,ORV,F,Anthony Edwards,21.0,MIN,14.0,500.0,0.028,0.0,2.0,8.0,79.0,36.0,24.6,5.8,4.4,1.6,0.7,0.459,0.369,0.756,3.8,0.064,2023
28,ORV,F,Jaren Jackson Jr.,23.0,MEM,11.0,500.0,0.022,0.0,1.0,8.0,63.0,28.4,18.6,6.8,1.0,1.0,3.0,0.506,0.355,0.788,6.6,0.177,2023
29,ORV,G,Devin Booker,26.0,PHO,10.0,500.0,0.02,0.0,1.0,7.0,53.0,34.6,27.8,4.5,5.5,1.0,0.3,0.494,0.351,0.855,6.0,0.157,2023
30,ORV,C,Bam Adebayo,25.0,MIA,9.0,500.0,0.018,0.0,0.0,9.0,75.0,34.6,20.4,9.2,3.2,1.2,0.8,0.54,0.083,0.806,7.4,0.137,2023
31,ORV,G,James Harden,33.0,PHI,6.0,500.0,0.012,0.0,0.0,6.0,58.0,36.8,21.0,6.1,10.7,1.2,0.5,0.441,0.385,0.867,8.4,0.188,2023
32,ORV,F,Mikal Bridges,26.0,TOT,2.0,500.0,0.004,0.0,0.0,2.0,83.0,35.7,20.1,4.4,3.3,1.1,0.7,0.468,0.382,0.895,7.5,0.121,2023
33,ORV,F,DeMar DeRozan,33.0,CHI,2.0,500.0,0.004,0.0,0.0,2.0,74.0,36.2,24.5,4.6,5.1,1.1,0.5,0.504,0.324,0.872,8.5,0.153,2023
34,ORV,C,Kristaps Porziņģis,27.0,WAS,2.0,500.0,0.004,0.0,0.0,2.0,65.0,32.6,23.2,8.4,2.7,0.9,1.5,0.498,0.385,0.851,7.7,0.174,2023
35,ORV,F,Paul George,32.0,LAC,1.0,500.0,0.002,0.0,0.0,1.0,56.0,34.6,23.8,6.1,5.1,1.5,0.4,0.457,0.371,0.871,4.6,0.114,2023
36,ORV,G,Tyrese Haliburton,22.0,IND,1.0,500.0,0.002,0.0,0.0,1.0,56.0,33.6,20.7,3.7,10.4,1.6,0.4,0.49,0.4,0.871,7.6,0.195,2023
37,ORV,F,Zach LaVine,27.0,CHI,1.0,500.0,0.002,0.0,0.0,1.0,77.0,35.9,24.8,4.5,4.2,0.9,0.2,0.485,0.375,0.848,7.1,0.123,2023
38,ORV,C,Brook Lopez,34.0,MIL,1.0,500.0,0.002,0.0,0.0,1.0,78.0,30.4,15.9,6.7,1.3,0.5,2.5,0.531,0.374,0.784,8.0,0.161,2023
39,ORV,G,Trae Young,24.0,ATL,1.0,500.0,0.002,0.0,0.0,1.0,73.0,34.8,26.2,3.0,10.2,1.1,0.1,0.429,0.335,0.886,6.7,0.126,2023
